id,parent_id,uec_id,party_name_pretty_mm,party_name_pretty_en,acronym_mm,acronym_en,start_date,mod_date,status
5f3f913dd8102c44a0dee866,[],5f3f9035c749de0ddc9de02d,"မြို (ခေါ်) ခမီ အမျိုးသားညီညွတ်ရေးအဖွဲ့","Mro Or Khami National Solidarity Organization",NULL,MKNSO,NULL,NULL,name_changed
5f3f913dd8102c44a0dee868,[],5f3f9035c749de0ddc9de02e,တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ,"National Unity Party",NULL,NUP,NULL,NULL,active
5f3f913dd8102c44a0dee869,[],5f3f9035c749de0ddc9de02f,လားဟူအမျိုးသားဖွံ့ဖြိုးတိုးတက်ရေးပါတီ,"Lahu National Development Party",NULL,NULL,NULL,NULL,active
5f3f913dd8102c44a0dee86a,[],5f3f9035c749de0ddc9de030,ကိုးကန့်ဒီမိုကရေစီနှင့်ညီညွတ်ရေးပါတီ,"Kokang Democracy and Unity Party",NULL,NULL,NULL,NULL,active
5f3f913dd8102c44a0dee86b,[],5f3f9035c749de0ddc9de031,ပအိုဝ်းအမျိုးသားအဖွဲ့ချုပ်,"Pa-O National Organization (PNO)",NULL,PNO,NULL,NULL,active
5f3f913dd8102c44a0dee86c,[],5f3f9035c749de0ddc9de032,"ဒီမိုကရက်တစ်ပါတီ (မြန်မာ)","Democratic Party (Myanmar)",NULL,NULL,NULL,NULL,active
5f3f913dd8102c44a0dee86d,[],5f3f9035c749de0ddc9de033,ကယန်းအမျိုးသားပါတီ,"Kayan National Party",NULL,NULL,NULL,NULL,active
5f3f913dd8102c44a0dee86e,[],5f3f9035c749de0ddc9de034,မြန်မာနိုင်ငံရခိုင်ပြည်နယ်အမျိုးသားအင်အားစုပါတီ,"Rakhine State National Force of Myanmar",NULL,RSNF,NULL,2014-06-20,name_changed
5f3f913dd8102c44a0dee870,[],5f3f9035c749de0ddc9de035,ကရင်ပြည်သူ့ပါတီ,"Kayin People's Party",NULL,NULL,NULL,NULL,active
5f3f913dd8102c44a0dee871,[],5f3f9035c749de0ddc9de036,""ဝ"" အမျိုးသားစည်းလုံးညီညွတ်ရေးပါတီ"","Wa National Unity Party",NULL,NULL,NULL,NULL,merge_to_new
5f3f913dd8102c44a0dee872,[],5f3f9035c749de0ddc9de037,ပြည်ထောင်စုကရင်အမျိုးသားများအဖွဲ့ချုပ်,"Union Karen League",NULL,NULL,NULL,NULL,dissolved
5f3f913dd8102c44a0dee873,[],5f3f9035c749de0ddc9de038,တအာင်း(ပလောင်)အမျိုးသားပါတီ,"Ta-Arng (Palaung) National Party",NULL,NULL,NULL,NULL,active
5f3f913dd8102c44a0dee874,[],5f3f9035c749de0ddc9de039,မွန်ဒေသလုံးဆိုင်ရာဒီမိုကရေစီပါတီ,"All Mon Region Democracy Party",NULL,NULL,NULL,2019-05-16,merge_to_new
